id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,20:28:28,-1,1,0,1,0,0,0,1,-1,0,-338
1,20:28:29,-1,1,0,1,0,0,0,1,-1,0,-338
2,20:28:30,-1,1,0,1,0,0,0,1,-1,0,-338
3,20:28:31,-1,1,0,1,0,0,0,1,-1,0,-338
4,20:28:32,-1,1,0,1,0,0,0,1,-1,0,-338
5,20:28:33,-1,1,0,1,0,0,0,1,-1,0,-338
6,20:28:34,-1,1,0,1,0,0,0,1,-1,0,-338
7,20:28:35,-1,1,0,1,0,0,0,1,-1,0,-338
8,20:28:36,-1,1,0,1,0,0,0,1,-1,0,-338
9,20:28:37,-1,1,0,1,0,0,0,1,-1,0,-338
10,20:28:38,-1,1,0,1,0,0,0,1,-1,0,-338
11,20:28:39,-1,1,0,1,0,0,0,1,-1,0,-338
12,20:28:40,-1,1,0,1,0,0,0,1,-1,0,-338
13,20:28:41,-1,1,0,1,0,0,0,1,-1,0,-338
14,20:28:42,-1,1,0,1,0,0,0,1,-1,0,-338
15,20:28:43,0,0,0,0,0,0,0,0,0,0,-338
16,20:28:44,0,0,0,0,0,0,0,0,0,0,-338
17,20:28:45,0,0,0,0,0,0,0,0,0,0,-338
18,20:28:46,0,0,0,0,0,0,0,0,0,0,-338
19,20:28:47,0,0,0,0,0,0,0,0,0,0,-338
20,20:28:48,0,0,0,0,0,0,0,0,0,0,-338
21,20:28:49,0,0,0,0,0,0,0,0,0,0,-338
22,20:28:50,0,0,0,0,0,0,0,0,0,0,-338
23,20:28:51,0,0,0,0,0,0,0,0,0,0,-338
24,20:28:52,0,0,0,0,0,0,0,0,0,0,-338
25,20:28:53,0,0,0,0,0,0,0,0,0,0,-338
26,20:28:54,0,0,0,0,0,0,0,0,0,0,-338
27,20:28:55,-1,1,0,1,0,0,0,1,-1,0,-338
28,20:28:56,-1,1,0,1,0,0,0,1,-1,0,-338
29,20:28:57,-1,1,0,1,0,0,0,1,-1,0,-338
30,20:28:58,-1,1,0,1,1,1,0,1,-1,0,-338
31,20:28:59,-1,1,0,1,1,1,0,1,-1,0,-338
32,20:29:00,-1,1,0,1,1,1,0,1,-1,0,-338
33,20:29:01,-1,2,0,2,1,1,0,1,-1,0,-338
34,20:29:02,-1,2,0,2,1,1,0,1,-1,0,-338
35,20:29:03,-1,2,0,2,1,1,0,1,-1,0,-338
36,20:29:04,-1,2,0,2,2,2,0,1,-1,0,-338
37,20:29:05,-1,2,0,2,2,2,0,1,-1,0,-338
38,20:29:06,-1,2,0,2,2,2,0,1,-1,0,-338
39,20:29:07,-1,2,0,2,2,2,0,1,-1,0,-338
40,20:29:08,-1,2,0,2,2,2,0,1,-1,0,-338
41,20:29:09,-1,2,0,2,2,2,0,1,-1,0,-338
42,20:29:10,-1,1,0,1,2,2,0,1,-1,0,-338
43,20:29:11,-1,1,0,1,2,2,0,1,-1,0,-338
44,20:29:12,-1,2,0,2,2,2,0,1,-1,0,-338
45,20:29:13,-1,2,0,2,1,1,0,1,-1,0,-338
46,20:29:14,-1,2,0,2,1,1,0,1,-1,0,-338
47,20:29:15,-1,2,0,2,1,1,0,1,-1,0,-338
48,20:29:16,-1,1,0,1,1,1,0,1,-1,0,-338
49,20:29:17,-1,1,0,1,1,1,0,1,-1,0,-338
50,20:29:18,-1,1,0,1,1,1,0,1,-1,0,-338
51,20:29:19,-1,1,0,1,0,0,0,1,-1,0,-338
52,20:29:20,-1,2,0,2,0,0,0,1,-1,0,-338
53,20:29:21,-1,2,0,2,0,0,0,1,-1,0,-338
54,20:29:22,-1,2,0,2,1,1,0,1,-1,0,-338
55,20:29:23,-1,2,0,2,1,1,0,1,-1,0,-338
56,20:29:24,-1,2,0,2,1,1,0,1,-1,0,-338
57,20:29:26,-1,2,0,2,1,1,0,1,-1,0,-338
58,20:29:27,-1,2,0,2,1,1,0,1,-1,0,-338
59,20:29:28,-1,1,0,1,1,1,0,1,-1,0,-338
60,20:29:29,-1,1,0,1,1,1,0,1,-1,0,-338
