id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,20:02:09,1,1,1,0,0,0,0,-1,1,0,115
1,20:02:09,1,2,2,0,0,0,0,-1,1,0,115
2,20:02:10,1,3,3,0,0,0,0,-1,1,0,115
3,20:02:11,1,3,3,0,0,0,0,-1,1,0,115
4,20:02:12,1,3,3,0,0,0,0,-1,1,0,115
5,20:02:13,1,3,3,0,0,0,0,-1,1,0,115
6,20:02:14,1,3,3,0,0,0,0,-1,1,0,115
7,20:02:15,1,3,3,0,0,0,0,-1,1,0,115
8,20:02:16,1,3,3,0,0,0,0,-1,1,0,115
9,20:02:17,1,3,3,0,0,0,0,-1,1,0,115
10,20:02:18,1,3,3,0,0,0,0,-1,1,0,115
11,20:02:20,1,3,3,0,0,0,0,-1,1,0,115
12,20:02:21,1,3,3,0,0,0,0,-1,1,0,115
13,20:02:22,1,3,3,0,0,0,0,-1,1,0,115
14,20:02:23,1,2,2,0,0,0,0,-1,1,0,115
15,20:02:24,1,1,1,0,0,0,0,-1,1,0,115
16,20:02:25,0,0,0,0,0,0,0,0,0,0,115
17,20:02:26,0,0,0,0,0,0,0,0,0,0,115
18,20:02:27,0,0,0,0,0,0,0,0,0,0,115
19,20:02:28,0,0,0,0,0,0,0,0,0,0,115
20,20:02:29,0,0,0,0,0,0,0,0,0,0,115
21,20:02:30,0,0,0,0,0,0,0,0,0,0,115
22,20:02:31,0,0,0,0,0,0,0,0,0,0,115
23,20:02:32,0,0,0,0,0,0,0,0,0,0,115
24,20:02:33,0,0,0,0,0,0,0,0,0,0,115
25,20:02:34,0,0,0,0,0,0,0,0,0,0,115
26,20:02:35,0,0,0,0,0,0,0,0,0,0,115
27,20:02:36,0,0,0,0,0,0,0,0,0,0,115
28,20:02:37,0,0,0,0,0,0,0,0,0,0,115
29,20:02:38,0,0,0,0,0,0,0,0,0,0,115
30,20:02:39,0,0,0,0,0,0,0,0,0,0,115
31,20:02:40,0,0,0,0,0,0,0,0,0,0,115
32,20:02:41,0,0,0,0,0,0,0,0,0,0,115
33,20:02:43,0,0,0,0,0,0,0,0,0,0,115
34,20:02:43,0,0,0,0,0,0,0,0,0,0,115
35,20:02:44,0,0,0,0,0,0,0,0,0,0,115
36,20:02:45,0,0,0,0,0,0,0,0,0,0,115
37,20:02:46,0,0,0,0,0,0,0,0,0,0,115
38,20:02:47,0,0,0,0,0,0,0,0,0,0,115
39,20:02:48,0,0,0,0,0,0,0,0,0,0,115
40,20:02:49,0,0,0,0,0,0,0,0,0,0,115
41,20:02:50,0,0,0,0,0,0,0,0,0,0,115
42,20:02:51,0,0,0,0,0,0,0,0,0,0,115
43,20:02:52,0,0,0,0,0,0,0,0,0,0,115
44,20:02:54,0,0,0,0,0,0,0,0,0,0,115
45,20:02:54,0,0,0,0,0,0,0,0,0,0,115
46,20:02:56,0,0,0,0,0,0,0,0,0,0,115
47,20:02:57,0,0,0,0,0,0,0,0,0,0,115
48,20:02:58,0,0,0,0,0,0,0,0,0,0,115
49,20:02:59,0,0,0,0,0,0,0,0,0,0,115
50,20:03:00,0,0,0,0,0,0,0,0,0,0,115
51,20:03:01,0,0,0,0,0,0,0,0,0,0,115
52,20:03:02,-1,0,0,0,1,1,0,1,-1,0,115
53,20:03:03,-1,1,0,1,1,1,0,1,-1,0,115
54,20:03:04,-1,1,0,1,1,1,0,1,-1,0,115
55,20:03:05,-1,1,0,1,2,2,0,1,-1,0,115
56,20:03:06,-1,2,0,2,2,2,0,1,-1,0,115
57,20:03:07,-1,2,0,2,3,3,0,1,-1,0,115
58,20:03:08,-1,3,0,3,3,3,0,1,-1,0,115
59,20:03:09,-1,3,0,3,4,4,0,1,-1,0,115
60,20:03:10,-1,4,0,4,4,4,0,1,-1,0,115
61,20:03:11,-1,4,0,4,5,5,0,1,-1,0,115
62,20:03:12,-1,5,0,5,5,5,0,1,-1,0,115
63,20:03:13,-1,5,0,5,6,6,0,1,-1,0,115
64,20:03:14,-1,6,0,6,6,6,0,1,-1,0,115
65,20:03:15,-1,6,0,6,6,6,0,1,-1,0,115
66,20:03:16,-1,6,0,6,6,6,0,1,-1,0,115
67,20:03:17,-1,6,0,6,5,5,0,1,-1,0,115
68,20:03:18,-1,5,0,5,5,5,0,1,-1,0,115
69,20:03:19,-1,5,0,5,4,4,0,1,-1,0,115
70,20:03:20,-1,5,0,5,4,4,0,1,-1,0,115
71,20:03:21,-1,4,0,4,4,4,0,1,-1,0,115
72,20:03:22,-1,4,0,4,3,3,0,1,-1,0,115
73,20:03:23,-1,3,0,3,3,3,0,1,-1,0,115
74,20:03:24,-1,3,0,3,2,2,0,1,-1,0,115
75,20:03:25,-1,2,0,2,2,2,0,1,-1,0,115
76,20:03:26,-1,2,0,2,1,1,0,1,-1,0,115
77,20:03:27,-1,1,0,1,1,1,0,1,-1,0,115
78,20:03:28,-1,1,0,1,0,0,0,1,-1,0,115
79,20:03:29,0,0,0,0,0,0,0,0,0,0,115
80,20:03:30,0,0,0,0,0,0,0,0,0,0,115
81,20:03:31,0,0,0,0,0,0,0,0,0,0,115
82,20:03:32,0,0,0,0,0,0,0,0,0,0,115
83,20:03:33,0,0,0,0,0,0,0,0,0,0,115
84,20:03:34,0,0,0,0,0,0,0,0,0,0,115
85,20:03:35,0,0,0,0,0,0,0,0,0,0,115
86,20:03:36,0,0,0,0,0,0,0,0,0,0,115
87,20:03:37,0,0,0,0,0,0,0,0,0,0,115
88,20:03:38,0,0,0,0,0,0,0,0,0,0,115
89,20:03:39,0,0,0,0,0,0,0,0,0,0,115
90,20:03:40,0,0,0,0,0,0,0,0,0,0,115
91,20:03:41,0,0,0,0,0,0,0,0,0,0,115
92,20:03:42,0,0,0,0,0,0,0,0,0,0,115
93,20:03:43,0,0,0,0,0,0,0,0,0,0,115
94,20:03:44,0,0,0,0,0,0,0,0,0,0,115
95,20:03:45,0,0,0,0,0,0,0,0,0,0,115
96,20:03:46,0,0,0,0,0,0,0,0,0,0,115
97,20:03:47,0,0,0,0,0,0,0,0,0,0,115
98,20:03:48,0,0,0,0,0,0,0,0,0,0,115
99,20:03:49,0,0,0,0,0,0,0,0,0,0,115
100,20:03:50,0,0,0,0,0,0,0,0,0,0,115
101,20:03:51,0,0,0,0,0,0,0,0,0,0,115
102,20:03:52,0,0,0,0,0,0,0,0,0,0,115
103,20:03:53,0,0,0,0,0,0,0,0,0,0,115
104,20:03:54,0,0,0,0,0,0,0,0,0,0,115
105,20:03:55,0,0,0,0,0,0,0,0,0,0,115
106,20:03:56,0,0,0,0,0,0,0,0,0,0,115
107,20:03:57,0,0,0,0,0,0,0,0,0,0,115
108,20:03:58,0,0,0,0,0,0,0,0,0,0,115
109,20:03:59,0,0,0,0,0,0,0,0,0,0,115
110,20:04:00,0,0,0,0,0,0,0,0,0,0,115
111,20:04:01,0,0,0,0,0,0,0,0,0,0,115
112,20:04:02,0,0,0,0,0,0,0,0,0,0,115
113,20:04:03,0,0,0,0,0,0,0,0,0,0,115
114,20:04:04,0,0,0,0,0,0,0,0,0,0,115
115,20:04:05,0,0,0,0,0,0,0,0,0,0,115
116,20:04:06,0,0,0,0,0,0,0,0,0,0,115
117,20:04:07,0,0,0,0,0,0,0,0,0,0,115
118,20:04:08,0,0,0,0,0,0,0,0,0,0,115
119,20:04:09,0,0,0,0,0,0,0,0,0,0,115
120,20:04:10,0,0,0,0,0,0,0,0,0,0,115
121,20:04:11,0,0,0,0,0,0,0,0,0,0,115
122,20:04:12,0,0,0,0,0,0,0,0,0,0,115
123,20:04:13,0,0,0,0,0,0,0,0,0,0,115
124,20:04:14,0,0,0,0,0,0,0,0,0,0,115
125,20:04:15,0,0,0,0,0,0,0,0,0,0,115
126,20:04:16,0,0,0,0,0,0,0,0,0,0,115
127,20:04:17,0,0,0,0,0,0,0,0,0,0,115
128,20:04:18,0,0,0,0,0,0,0,0,0,0,115
129,20:04:19,0,0,0,0,0,0,0,0,0,0,115
130,20:04:20,0,0,0,0,0,0,0,0,0,0,115
131,20:04:21,0,0,0,0,0,0,0,0,0,0,115
132,20:04:22,0,0,0,0,0,0,0,0,0,0,115
133,20:04:23,0,0,0,0,0,0,0,0,0,0,115
134,20:04:24,0,0,0,0,0,0,0,0,0,0,115
135,20:04:25,0,0,0,0,0,0,0,0,0,0,115
136,20:04:26,0,0,0,0,0,0,0,0,0,0,115
137,20:04:27,0,0,0,0,0,0,0,0,0,0,115
138,20:04:28,0,0,0,0,0,0,0,0,0,0,115
139,20:04:29,0,0,0,0,0,0,0,0,0,0,115
140,20:04:30,0,0,0,0,0,0,0,0,0,0,115
141,20:04:31,0,0,0,0,0,0,0,0,0,0,115
142,20:04:32,0,0,0,0,0,0,0,0,0,0,115
