id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,12:23:46,1,1,1,0,0,0,0,-1,1,321,345
1,12:23:47,1,1,1,0,0,0,0,-1,1,321,345
2,12:23:48,1,2,2,0,0,0,0,-1,1,321,345
3,12:23:49,0.5,3,3,0,1,1,0,-0.5,0.5,311,325
4,12:23:50,0.714285714285714,6,6,0,1,1,0,-0.714285714285714,0.714285714285714,311,325
5,12:23:51,0.714285714285714,12,12,0,2,2,0,-0.714285714285714,0.714285714285714,311,325
6,12:23:52,0.5,16,15,1,4,4,0,-0.5,0.5,311,320
7,12:23:53,0.6,19,18,1,6,4,2,-0.6,0.6,311,320
8,12:23:54,0.625,26,24,2,6,4,2,-0.625,0.625,311,320
9,12:23:55,0.631578947368421,30,28,2,8,5,3,-0.631578947368421,0.631578947368421,299,289
10,12:23:56,0.619047619047619,33,31,2,9,6,3,-0.619047619047619,0.619047619047619,299,289
11,12:23:57,0.48936170212766,34,32,2,13,10,3,-0.48936170212766,0.48936170212766,299,289
12,12:24:04,0.478260869565217,36,34,2,33,16,17,-0.478260869565217,0.478260869565217,277,182
13,12:24:04,0.486486486486487,39,35,4,35,15,20,-0.486486486486487,0.486486486486487,277,182
14,12:24:05,0.462365591397849,45,38,7,48,18,30,-0.462365591397849,0.462365591397849,277,182
15,12:24:06,0.428571428571429,37,30,7,47,17,30,-0.428571428571429,0.428571428571429,277,182
16,12:24:07,0.475,35,29,6,45,15,30,-0.475,0.475,257,172
17,12:24:08,0.44,32,26,6,43,15,28,-0.44,0.44,257,172
18,12:24:09,0.402985074626866,24,19,5,43,15,28,-0.402985074626866,0.402985074626866,257,172
19,12:24:13,0.469387755102041,17,12,5,32,8,24,-0.469387755102041,0.469387755102041,257,150
20,12:24:14,0.469387755102041,17,12,5,32,8,24,-0.469387755102041,0.469387755102041,257,150
21,12:24:15,0.483870967741935,15,10,5,16,3,13,-0.483870967741935,0.483870967741935,257,150
22,12:24:16,0.485714285714286,19,13,6,16,3,13,-0.485714285714286,0.485714285714286,127,120
23,12:24:17,0.458333333333333,28,20,8,20,5,15,-0.458333333333333,0.458333333333333,127,120
24,12:24:18,0.43859649122807,34,25,9,23,7,16,-0.43859649122807,0.43859649122807,127,120
25,12:24:19,0.39622641509434,28,20,8,25,8,17,-0.39622641509434,0.39622641509434,127,70
26,12:24:20,0.291666666666667,29,22,7,19,10,9,-0.291666666666667,0.291666666666667,127,70
27,12:24:21,0.180327868852459,37,25,12,24,13,11,-0.180327868852459,0.180327868852459,127,70
28,12:24:22,0.159420289855072,41,29,12,28,17,11,-0.159420289855072,0.159420289855072,107,70
29,12:24:23,0.0864197530864197,45,33,12,36,25,11,-0.0864197530864197,0.0864197530864197,107,70
30,12:24:30,0.1,52,34,18,48,27,21,-0.1,0.1,87,55
31,12:24:30,0.1,52,34,18,48,27,21,-0.1,0.1,87,55
32,12:24:31,0.0736842105263158,47,30,17,48,27,21,-0.0736842105263158,0.0736842105263158,75,15
33,12:24:32,0.037037037037037,38,23,15,43,24,19,-0.037037037037037,0.037037037037037,75,15
34,12:24:33,0.0277777777777778,31,19,12,41,23,18,-0.0277777777777778,0.0277777777777778,75,15
35,12:24:35,-0.0333333333333333,26,15,11,34,20,14,0.0333333333333333,-0.0333333333333333,75,15
36,12:24:36,-0.0588235294117647,23,12,11,28,16,12,0.0588235294117647,-0.0588235294117647,75,15
37,12:24:37,-0.0526315789473684,14,8,6,24,14,10,0.0526315789473684,-0.0526315789473684,75,15
38,12:24:38,0,0,0,0,0,0,0,0,0,400,400
39,12:24:39,0,0,0,0,0,0,0,0,0,400,400
40,12:24:40,0,0,0,0,0,0,0,0,0,400,400
41,12:24:41,0,0,0,0,0,0,0,0,0,390,380
42,12:24:42,0,0,0,0,0,0,0,0,0,390,380
43,12:24:43,0,0,0,0,0,0,0,0,0,380,380
44,12:24:44,0,0,0,0,0,0,0,0,0,380,370
45,12:24:45,0,0,0,0,0,0,0,0,0,380,370
46,12:24:46,0,0,0,0,0,0,0,0,0,358,370
47,12:24:47,0,1,1,0,1,1,0,0,0,358,365
48,12:24:48,0.4,7,7,0,3,3,0,-0.4,0.4,358,365
49,12:24:50,0.333333333333333,10,10,0,5,5,0,-0.333333333333333,0.333333333333333,346,335
50,12:24:51,0.170731707317073,23,23,0,18,17,1,-0.170731707317073,0.170731707317073,346,335
51,12:24:53,0.25,29,29,0,19,18,1,-0.25,0.25,296,315
52,12:24:54,0.285714285714286,35,35,0,21,20,1,-0.285714285714286,0.285714285714286,296,315
53,12:24:55,0.310344827586207,56,55,1,31,29,2,-0.310344827586207,0.310344827586207,271,315
54,12:24:56,0.38,68,67,1,32,30,2,-0.38,0.38,271,295
55,12:24:57,0.38,68,67,1,32,30,2,-0.38,0.38,271,295
56,12:24:58,0.38,68,67,1,32,30,2,-0.38,0.38,271,295
57,12:24:59,0.38,68,67,1,32,30,2,-0.38,0.38,271,273
58,12:25:00,0.38,68,67,1,32,30,2,-0.38,0.38,271,273
59,12:25:03,0.377777777777778,61,60,1,29,27,2,-0.377777777777778,0.377777777777778,246,251
60,12:25:04,0.395348837209302,59,58,1,27,25,2,-0.395348837209302,0.395348837209302,246,251
61,12:25:05,0.404761904761905,58,57,1,26,24,2,-0.404761904761905,0.404761904761905,246,241
62,12:25:06,0.525423728813559,45,44,1,14,13,1,-0.525423728813559,0.525423728813559,246,241
63,12:25:07,0.5,39,38,1,13,12,1,-0.5,0.5,236,241
64,12:25:08,0.5,39,38,1,13,12,1,-0.5,0.5,236,215
65,12:25:09,0.523809523809524,32,31,1,10,9,1,-0.523809523809524,0.523809523809524,236,215
66,12:25:10,0.846153846153846,12,12,0,1,1,0,-0.846153846153846,0.846153846153846,206,215
67,12:25:11,0,0,0,0,0,0,0,0,0,206,191
68,12:25:12,0,0,0,0,0,0,0,0,0,206,191
69,12:25:13,0,0,0,0,0,0,0,0,0,174,191
70,12:25:14,0,0,0,0,0,0,0,0,0,174,71
71,12:25:15,0,0,0,0,0,0,0,0,0,174,71
72,12:25:16,0,0,0,0,0,0,0,0,0,174,71
73,12:25:17,1,2,2,0,0,0,0,-1,1,174,71
74,12:25:18,0.6,3,3,0,2,1,1,-0.6,0.6,174,71
75,12:25:19,0.6,3,3,0,12,3,9,-0.6,0.6,29,71
76,12:25:20,0.461538461538462,12,10,2,14,5,9,-0.461538461538462,0.461538461538462,29,71
77,12:25:21,0.351351351351351,18,16,2,19,10,9,-0.351351351351351,0.351351351351351,29,71
78,12:25:22,0.304347826086957,23,21,2,23,14,9,-0.304347826086957,0.304347826086957,29,71
79,12:25:23,0.222222222222222,25,23,2,29,19,10,-0.222222222222222,0.222222222222222,29,59
80,12:25:24,0.264705882352941,35,33,2,33,23,10,-0.264705882352941,0.264705882352941,29,59
81,12:25:30,0,0,0,0,0,0,0,0,0,395,377
82,12:25:31,0.111111111111111,5,5,0,4,4,0,-0.111111111111111,0.111111111111111,395,377
83,12:25:32,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,395,362
84,12:25:33,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,395,362
85,12:25:34,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,383,362
86,12:25:35,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,383,324
87,12:25:36,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,383,324
88,12:25:37,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,324
89,12:25:38,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,312
90,12:25:41,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,304
91,12:25:42,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,304
92,12:25:43,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,304
93,12:25:44,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,254
94,12:25:45,0.0588235294117647,9,9,0,8,8,0,-0.0588235294117647,0.0588235294117647,333,254
95,12:25:46,0,4,4,0,4,4,0,0,0,323,254
96,12:25:47,1,0,0,0,1,0,1,-1,1,323,224
97,12:25:48,0.6,0,0,0,15,3,12,-0.6,0.6,323,224
98,12:25:49,0.6,4,4,0,36,8,28,-0.6,0.6,303,224
99,12:25:50,0.483870967741935,4,4,0,58,16,42,-0.483870967741935,0.483870967741935,303,224
100,12:26:02,0.425287356321839,7,7,0,80,25,55,-0.425287356321839,0.425287356321839,261,176
101,12:26:02,0.425287356321839,7,7,0,80,25,55,-0.425287356321839,0.425287356321839,261,176
102,12:26:03,0.349397590361446,9,9,0,74,27,47,-0.349397590361446,0.349397590361446,261,176
103,12:26:04,0.275862068965517,5,5,0,53,21,32,-0.275862068965517,0.275862068965517,231,176
104,12:26:05,0.189189189189189,5,5,0,32,15,17,-0.189189189189189,0.189189189189189,231,176
105,12:26:06,0.1875,5,5,0,27,13,14,-0.1875,0.1875,231,176
106,12:26:07,0.1875,5,5,0,27,13,14,-0.1875,0.1875,216,164
107,12:26:10,0.1875,5,5,0,27,13,14,-0.1875,0.1875,206,164
108,12:26:11,0.1875,5,5,0,27,13,14,-0.1875,0.1875,206,164
109,12:26:12,0.1875,5,5,0,27,13,14,-0.1875,0.1875,206,164
110,12:26:13,0.0769230769230769,2,2,0,11,6,5,-0.0769230769230769,0.0769230769230769,196,144
111,12:26:14,0.0769230769230769,2,2,0,11,6,5,-0.0769230769230769,0.0769230769230769,196,144
112,12:26:15,0.0769230769230769,2,2,0,11,6,5,-0.0769230769230769,0.0769230769230769,196,144
113,12:26:16,0.0769230769230769,2,2,0,11,6,5,-0.0769230769230769,0.0769230769230769,184,134
114,12:26:17,0.166666666666667,2,2,0,10,5,5,-0.166666666666667,0.166666666666667,184,134
115,12:26:18,0.466666666666667,2,1,1,13,3,10,-0.466666666666667,0.466666666666667,184,134
116,12:26:19,0.428571428571429,6,4,2,22,6,16,-0.428571428571429,0.428571428571429,174,134
117,12:26:22,0.235294117647059,10,5,5,24,8,16,-0.235294117647059,0.235294117647059,174,104
118,12:26:35,0.148936170212766,18,9,9,29,11,18,-0.148936170212766,0.148936170212766,0,99
119,12:26:35,0.0434782608695652,14,8,6,9,5,4,-0.0434782608695652,0.0434782608695652,0,99
120,12:26:39,0.185185185185185,14,9,5,13,6,7,-0.185185185185185,0.185185185185185,0,99
121,12:26:40,0.304347826086957,27,20,7,19,9,10,-0.304347826086957,0.304347826086957,0,99
122,12:26:41,0.283018867924528,31,23,8,22,11,11,-0.283018867924528,0.283018867924528,0,99
123,12:26:42,0.283018867924528,31,23,8,22,11,11,-0.283018867924528,0.283018867924528,0,99
124,12:26:43,0.283018867924528,31,23,8,22,11,11,-0.283018867924528,0.283018867924528,0,99
125,12:26:44,0.283018867924528,31,23,8,22,11,11,-0.283018867924528,0.283018867924528,0,99
126,12:26:48,0.283018867924528,31,23,8,22,11,11,-0.283018867924528,0.283018867924528,0,99
127,12:26:48,0,0,0,0,0,0,0,0,0,0,99
128,12:26:49,0,0,0,0,0,0,0,0,0,0,99
129,12:26:50,0,0,0,0,0,0,0,0,0,0,99
130,12:26:51,0,0,0,0,0,0,0,0,0,0,99
131,12:26:52,0,0,0,0,0,0,0,0,0,0,99
132,12:26:53,0,0,0,0,0,0,0,0,0,0,99
133,12:26:54,0,0,0,0,0,0,0,0,0,0,99
134,12:26:55,0,0,0,0,0,0,0,0,0,0,99
135,12:26:56,0,0,0,0,0,0,0,0,0,0,99
136,12:26:57,0,0,0,0,0,0,0,0,0,0,99
137,12:26:59,0,0,0,0,0,0,0,0,0,0,99
138,12:26:59,0,0,0,0,0,0,0,0,0,0,99
139,12:27:00,0,0,0,0,0,0,0,0,0,0,99
140,12:27:01,0,0,0,0,0,0,0,0,0,0,99
141,12:27:02,0,0,0,0,0,0,0,0,0,0,99
142,12:27:03,0,0,0,0,0,0,0,0,0,0,99
143,12:27:04,0,0,0,0,0,0,0,0,0,0,99
144,12:27:05,0,0,0,0,0,0,0,0,0,0,99
145,12:27:06,0,0,0,0,0,0,0,0,0,0,99
146,12:27:07,0,0,0,0,0,0,0,0,0,0,99
147,12:27:08,0,0,0,0,0,0,0,0,0,0,99
148,12:27:10,0,0,0,0,0,0,0,0,0,0,99
149,12:27:10,0,0,0,0,0,0,0,0,0,0,99
150,12:27:11,0,0,0,0,0,0,0,0,0,0,99
151,12:27:13,0,0,0,0,0,0,0,0,0,0,99
152,12:27:14,0,0,0,0,0,0,0,0,0,0,99
153,12:27:15,0,0,0,0,0,0,0,0,0,0,99
154,12:27:16,0,0,0,0,0,0,0,0,0,0,99
155,12:27:17,0,0,0,0,0,0,0,0,0,0,99
156,12:27:18,0,0,0,0,0,0,0,0,0,0,99
157,12:27:19,0,0,0,0,0,0,0,0,0,0,99
158,12:27:21,0,0,0,0,0,0,0,0,0,0,99
159,12:27:21,0,0,0,0,0,0,0,0,0,0,99
160,12:27:22,0,0,0,0,0,0,0,0,0,0,99
161,12:27:23,0,0,0,0,0,0,0,0,0,0,99
162,12:27:24,0,0,0,0,0,0,0,0,0,0,99
163,12:27:25,0,0,0,0,0,0,0,0,0,0,99
164,12:27:26,0,0,0,0,0,0,0,0,0,0,99
165,12:27:27,0,0,0,0,0,0,0,0,0,0,99
166,12:27:28,0,0,0,0,0,0,0,0,0,0,99
167,12:27:29,0,0,0,0,0,0,0,0,0,0,99
168,12:27:30,0,0,0,0,0,0,0,0,0,0,99
169,12:27:32,0,0,0,0,0,0,0,0,0,0,99
170,12:27:32,0,0,0,0,0,0,0,0,0,0,99
171,12:27:33,0,0,0,0,0,0,0,0,0,0,99
172,12:27:34,0,0,0,0,0,0,0,0,0,0,99
173,12:27:35,0,0,0,0,0,0,0,0,0,0,99
174,12:27:36,0,0,0,0,0,0,0,0,0,0,99
175,12:27:37,0,0,0,0,0,0,0,0,0,0,99
176,12:27:38,0,0,0,0,0,0,0,0,0,0,99
177,12:27:39,0,0,0,0,0,0,0,0,0,0,99
178,12:27:40,0,0,0,0,0,0,0,0,0,0,99
179,12:27:41,0,0,0,0,0,0,0,0,0,0,99
180,12:27:43,0,0,0,0,0,0,0,0,0,0,99
181,12:27:43,0,0,0,0,0,0,0,0,0,0,99
182,12:27:44,0,0,0,0,0,0,0,0,0,0,99
183,12:27:45,0,0,0,0,0,0,0,0,0,0,99
184,12:27:46,0,0,0,0,0,0,0,0,0,0,99
185,12:27:47,0,0,0,0,0,0,0,0,0,0,99
186,12:27:48,0,0,0,0,0,0,0,0,0,0,99
187,12:27:49,0,0,0,0,0,0,0,0,0,0,99
188,12:27:50,0,0,0,0,0,0,0,0,0,0,99
189,12:27:51,0,0,0,0,0,0,0,0,0,0,99
190,12:27:52,0,0,0,0,0,0,0,0,0,0,99
191,12:27:54,0,0,0,0,0,0,0,0,0,0,99
192,12:27:54,0,0,0,0,0,0,0,0,0,0,99
193,12:27:55,0,0,0,0,0,0,0,0,0,0,99
194,12:27:56,0,0,0,0,0,0,0,0,0,0,99
195,12:27:57,0,0,0,0,0,0,0,0,0,0,99
196,12:27:58,0,0,0,0,0,0,0,0,0,0,99
197,12:27:59,0,0,0,0,0,0,0,0,0,0,99
198,12:28:00,0,0,0,0,0,0,0,0,0,0,99
199,12:28:01,0,0,0,0,0,0,0,0,0,0,99
200,12:28:02,0,0,0,0,0,0,0,0,0,0,99
201,12:28:03,0,0,0,0,0,0,0,0,0,0,99
202,12:28:05,0,0,0,0,0,0,0,0,0,0,99
203,12:28:06,0,0,0,0,0,0,0,0,0,0,99
204,12:28:07,0,0,0,0,0,0,0,0,0,0,99
205,12:28:08,0,0,0,0,0,0,0,0,0,0,99
206,12:28:09,0,0,0,0,0,0,0,0,0,0,99
207,12:28:10,0,0,0,0,0,0,0,0,0,0,99
208,12:28:11,0,0,0,0,0,0,0,0,0,0,99
209,12:28:12,0,0,0,0,0,0,0,0,0,0,99
210,12:28:13,0,0,0,0,0,0,0,0,0,0,99
211,12:28:14,0,0,0,0,0,0,0,0,0,0,99
212,12:28:15,0,0,0,0,0,0,0,0,0,0,99
213,12:28:16,0,0,0,0,0,0,0,0,0,0,99
214,12:28:17,0,0,0,0,0,0,0,0,0,0,99
215,12:28:18,0,0,0,0,0,0,0,0,0,0,99
216,12:28:19,0,0,0,0,0,0,0,0,0,0,99
217,12:28:20,0,0,0,0,0,0,0,0,0,0,99
218,12:28:21,0,0,0,0,0,0,0,0,0,0,99
219,12:28:22,0,0,0,0,0,0,0,0,0,0,99
220,12:28:23,0,0,0,0,0,0,0,0,0,0,99
221,12:28:24,0,0,0,0,0,0,0,0,0,0,99
222,12:28:25,0,0,0,0,0,0,0,0,0,0,99
223,12:28:26,0,0,0,0,0,0,0,0,0,0,99
224,12:28:27,0,0,0,0,0,0,0,0,0,0,99
225,12:28:28,0,0,0,0,0,0,0,0,0,0,99
226,12:28:29,0,0,0,0,0,0,0,0,0,0,99
227,12:28:30,0,0,0,0,0,0,0,0,0,0,99
228,12:28:31,0,0,0,0,0,0,0,0,0,0,99
229,12:28:32,0,0,0,0,0,0,0,0,0,0,99
230,12:28:33,0,0,0,0,0,0,0,0,0,0,99
231,12:28:34,0,0,0,0,0,0,0,0,0,0,99
232,12:28:35,0,0,0,0,0,0,0,0,0,0,99
233,12:28:36,0,0,0,0,0,0,0,0,0,0,99
234,12:28:37,0,0,0,0,0,0,0,0,0,0,99
235,12:28:38,0,0,0,0,0,0,0,0,0,0,99
236,12:28:39,0,0,0,0,0,0,0,0,0,0,99
237,12:28:40,0,0,0,0,0,0,0,0,0,0,99
238,12:28:41,0,0,0,0,0,0,0,0,0,0,99
