id,time,user,msg
0,14:43:04,ligoligo12,@TJtestBOT, p1+
3,14:43:07,ligoligo12,@TJtestBOT, p1+
5,14:43:09,ligoligo12,@TJtestBOT, p1+
6,14:43:10,ligoligo12,@TJtestBOT, p1+
7,14:43:11,ligoligo12,@TJtestBOT, p1+
7,14:43:11,ligoligo12,@TJtestBOT, p1+
9,14:43:13,ligoligo12,@TJtestBOT, p2-
11,14:43:15,ligoligo12,@TJtestBOT, p2-
11,14:43:15,ligoligo12,@TJtestBOT, p2-
12,14:43:16,ligoligo12,@TJtestBOT, p2-
13,14:43:17,ligoligo12,@TJtestBOT, p2-
14,14:43:18,ligoligo12,@TJtestBOT, p2-
15,14:43:19,ligoligo12,@TJtestBOT, p2-
16,14:43:20,ligoligo12,@TJtestBOT, p2-
17,14:43:21,ligoligo12,@TJtestBOT, p2-
18,14:43:22,ligoligo12,@TJtestBOT, p2-
19,14:43:23,ligoligo12,@TJtestBOT, p2-
20,14:43:24,ligoligo12,@TJtestBOT, p2-
21,14:43:25,ligoligo12,@TJtestBOT, p1+
23,14:43:27,ligoligo12,@TJtestBOT, p2-
24,14:43:28,ligoligo12,@TJtestBOT, p1+
