id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,12:49:33,0,0,0,0,0,0,0,0,0,390,390
1,12:49:36,1,10,10,0,0,0,0,-1,1,390,375
2,12:49:36,1,22,22,0,0,0,0,-1,1,380,375
3,12:49:37,1,23,23,0,4,0,4,-1,1,380,375
4,12:49:38,1,23,23,0,12,0,12,-1,1,380,375
5,12:49:39,0.957446808510638,24,24,0,23,1,22,-0.957446808510638,0.957446808510638,380,363
6,12:49:40,0.962962962962963,26,26,0,28,1,27,-0.962962962962963,0.962962962962963,380,363
7,12:49:41,0.968253968253968,35,35,0,28,1,27,-0.968253968253968,0.968253968253968,380,363
8,12:49:42,0.971014492753623,41,41,0,28,1,27,-0.971014492753623,0.971014492753623,380,363
9,12:49:43,0.974025974025974,49,49,0,28,1,27,-0.974025974025974,0.974025974025974,380,363
10,12:49:44,0.976470588235294,55,55,0,30,1,29,-0.976470588235294,0.976470588235294,380,363
11,12:49:45,0.957894736842105,59,58,1,36,1,35,-0.957894736842105,0.957894736842105,380,340
12,12:49:52,0.95959595959596,61,60,1,38,1,37,-0.95959595959596,0.95959595959596,350,302
13,12:49:52,0.917808219178082,38,37,1,35,2,33,-0.917808219178082,0.917808219178082,350,302
14,12:49:53,0.904761904761905,38,37,1,25,2,23,-0.904761904761905,0.904761904761905,350,302
15,12:49:54,0.924528301886792,37,36,1,16,1,15,-0.924528301886792,0.924528301886792,340,282
16,12:49:55,0.909090909090909,33,32,1,11,1,10,-0.909090909090909,0.909090909090909,340,282
17,12:49:56,0.891891891891892,26,25,1,11,1,10,-0.891891891891892,0.891891891891892,340,282
18,12:49:57,0.806451612903226,20,18,2,11,1,10,-0.806451612903226,0.806451612903226,330,277
19,12:49:58,0.75,13,11,2,11,1,10,-0.75,0.75,330,277
20,12:49:59,0.625,7,5,2,9,1,8,-0.625,0.625,330,277
21,12:50:00,0.2,3,2,1,2,1,1,-0.2,0.2,320,272
22,12:50:01,-1,1,0,1,1,1,0,1,-1,320,272
23,12:50:03,-1,1,0,1,1,1,0,1,-1,320,250
24,12:50:03,0.454545454545455,4,3,1,7,2,5,-0.454545454545455,0.454545454545455,310,250
25,12:50:04,0.727272727272727,10,9,1,12,2,10,-0.727272727272727,0.727272727272727,310,250
26,12:50:05,0.818181818181818,20,19,1,13,2,11,-0.818181818181818,0.818181818181818,310,250
27,12:50:06,0.853658536585366,28,27,1,13,2,11,-0.853658536585366,0.853658536585366,300,240
28,12:50:07,0.92156862745098,37,36,1,14,1,13,-0.92156862745098,0.92156862745098,300,240
29,12:50:09,0.936507936507937,43,42,1,20,1,19,-0.936507936507937,0.936507936507937,300,240
30,12:50:10,0.921052631578947,53,51,2,23,1,22,-0.921052631578947,0.921052631578947,280,230
31,12:50:11,0.928571428571429,60,58,2,24,1,23,-0.928571428571429,0.928571428571429,280,230
32,12:50:12,0.938775510204082,69,67,2,29,1,28,-0.938775510204082,0.938775510204082,280,230
33,12:50:13,0.96078431372549,71,70,1,31,1,30,-0.96078431372549,0.96078431372549,255,213
34,12:50:16,0.96078431372549,71,70,1,31,1,30,-0.96078431372549,0.96078431372549,215,198
35,12:50:17,0.941747572815534,71,70,1,32,2,30,-0.941747572815534,0.941747572815534,215,198
36,12:50:18,0.941747572815534,71,70,1,32,2,30,-0.941747572815534,0.941747572815534,215,198
37,12:50:19,0.957446808510638,68,67,1,26,1,25,-0.957446808510638,0.957446808510638,215,174
38,12:50:20,0.951807228915663,62,61,1,21,1,20,-0.951807228915663,0.951807228915663,215,174
39,12:50:21,0.944444444444444,52,51,1,20,1,19,-0.944444444444444,0.944444444444444,215,174
40,12:50:22,0.907692307692308,45,43,2,20,1,19,-0.907692307692308,0.907692307692308,215,169
41,12:50:24,0.857142857142857,30,28,2,12,1,11,-0.857142857142857,0.857142857142857,215,169
42,12:50:25,0.862068965517241,20,19,1,9,1,8,-0.862068965517241,0.862068965517241,210,169
43,12:50:26,0.8,12,11,1,8,1,7,-0.8,0.8,210,169
44,12:50:28,0.428571428571429,4,3,1,3,1,2,-0.428571428571429,0.428571428571429,210,147
45,12:50:29,-1,1,0,1,2,2,0,1,-1,210,147
46,12:50:30,-1,1,0,1,2,2,0,1,-1,210,147
47,12:50:31,-1,1,0,1,2,2,0,1,-1,193,22
48,12:50:32,-1,1,0,1,1,1,0,1,-1,193,22
49,12:50:33,-1,1,0,1,1,1,0,1,-1,193,22
50,12:50:34,0.142857142857143,6,4,2,1,1,0,-0.142857142857143,0.142857142857143,181,20
51,12:50:35,0.6,13,11,2,2,1,1,-0.6,0.6,181,20
52,12:50:36,0.75,22,20,2,2,1,1,-0.75,0.75,181,20
53,12:50:37,0.875,30,29,1,2,1,1,-0.875,0.875,181,20
54,12:50:38,0.9,36,35,1,4,1,3,-0.9,0.9,181,20
